,net,tr_loss,tr_acc,te_loss,te_acc
0,SiameseNet13,261.13344806432724,50.204613095238095,70.48927009105682,48.288690476190474
1,SiameseNet13,234.45326486229897,51.953125,59.265844225883484,51.19047619047619
2,SiameseNet13,216.9983650147915,54.073660714285715,56.46837717294693,54.166666666666664
3,SiameseNet13,214.04942724108696,54.482886904761905,52.15647578239441,57.142857142857146
4,SiameseNet13,202.12586578726768,55.859375,52.43315032124519,58.779761904761905
5,SiameseNet13,189.49494272470474,58.426339285714285,47.76205259561539,61.23511904761905
6,SiameseNet13,177.79261448979378,61.607142857142854,43.23129126429558,63.169642857142854
7,SiameseNet13,171.77707639336586,62.611607142857146,40.374006539583206,66.51785714285714
8,SiameseNet13,160.05668663978577,64.49032738095238,40.17237892746925,68.67559523809524
9,SiameseNet13,149.12125983834267,67.15029761904762,32.521320670843124,72.76785714285714
10,SiameseNet13,140.2948804795742,69.21502976190476,31.310982793569565,76.19047619047619
